iterations,m1,m2
1000,41636.57421875,29502.560975609755
2000,42782.609375,28839.085365853658
3000,41749.16015625,32775.57317073171
4000,40889.70703125,41092.34146341463
5000,40517.9765625,41092.34146341463
6000,40251.046875,41092.34146341463
7000,40079.453125,41092.34146341463
8000,40003.20703125,41092.34146341463
9000,40025.2578125,41087.865853658535
10000,40146.1953125,41081.41463414634
11000,40365.4375,41081.41463414634
12000,40682.5234375,41076.96341463415
13000,40857.7421875,41076.96341463415
14000,40988.2421875,41072.53658536585
15000,41105.3046875,41072.53658536585
16000,41105.3046875,41072.53658536585
17000,41105.3046875,41072.53658536585
18000,41105.3046875,41072.53658536585
19000,41105.3046875,41072.53658536585
20000,41105.3046875,41072.53658536585
