iterations,m1,m2
1000,77792.3515625,88483.796875
2000,74832.4375,54813.45703125
3000,60721.984375,30519.521484375
4000,46940.53515625,16590.37890625
5000,15504.66796875,6844.29052734375
6000,12584.685546875,6054.826171875
7000,11735.1875,5454.13037109375
8000,10070.216796875,4775.99560546875
9000,9296.935546875,4445.6953125
10000,7752.96533203125,3766.47412109375
11000,6461.564453125,3030.818603515625
12000,6386.40478515625,2998.452392578125
13000,6093.54736328125,2902.79052734375
14000,6027.85693359375,2881.52099609375
15000,5556.22802734375,2711.686767578125
16000,5048.37548828125,2470.886962890625
17000,3885.332275390625,1929.5242919921875
18000,3323.1337890625,1591.0267333984375
19000,1947.003662109375,984.3933715820312
20000,1398.012939453125,695.7700805664062
21000,1066.664306640625,503.22015380859375
22000,487.4417724609375,231.32217407226562
23000,347.6083068847656,172.2015380859375
24000,346.4621887207031,168.7747344970703
25000,345.40985107421875,172.17831420898438
26000,344.3285217285156,171.4015350341797
27000,343.4784851074219,171.4015350341797
28000,342.0219421386719,171.4015350341797
29000,342.0151672363281,171.4015350341797
30000,342.0151672363281,171.4015350341797
31000,339.9189147949219,171.2489471435547
32000,339.7613830566406,170.6033935546875
33000,339.7613830566406,170.6033935546875
34000,339.2755432128906,170.6033935546875
35000,337.5150146484375,170.6033935546875
36000,337.5150146484375,170.6033935546875
37000,337.5150146484375,170.6033935546875
38000,337.5150146484375,170.57867431640625
39000,335.4057922363281,170.6033935546875
40000,335.276123046875,170.6033935546875
41000,335.276123046875,169.91529846191406
42000,335.276123046875,169.0126953125
43000,334.9476318359375,169.0126953125
44000,333.044677734375,169.0126953125
45000,333.044677734375,169.0126953125
46000,333.044677734375,169.0126953125
47000,333.044677734375,169.0126953125
48000,333.044677734375,169.0126953125
49000,331.38043212890625,169.0126953125
